	Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Original)	Opportunity (Original)	Predicted Error Rate (Original)
0	84	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:18:59	1996-02-01 00:18:59	1996-02-01 00:18:59	1996-02-01 00:18:59	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.0835
1	85	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:18:59	1996-02-01 00:19:23	1996-02-01 00:19:23	1996-02-01 00:19:23	24	24	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.0804
2	86	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:19:23	1996-02-01 00:19:45	1996-02-01 00:19:45	1996-02-01 00:19:45	22	22	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.0773
3	87	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:19:45	1996-02-01 00:19:59	1996-02-01 00:19:59	1996-02-01 00:19:59	14	14	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.1322
4	88	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:21:38	1996-02-01 00:21:51	1996-02-01 00:21:51	1996-02-01 00:21:51	13	13	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	4	0.1083
5	89	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:22:12	1996-02-01 00:22:16	1996-02-01 00:22:16	1996-02-01 00:22:16	4	4	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	6	0.0882
6	154	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:00:50	1996-02-01 00:00:50	1996-02-01 00:00:50	1996-02-01 00:00:50	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	1	0.1892
7	155	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:01:24	1996-02-01 00:01:30	1996-02-01 00:01:31	1996-02-01 00:01:31	7	.	7	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	2	0.1828
8	156	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:01:56	1996-02-01 00:02:02	1996-02-01 00:02:02	1996-02-01 00:02:02	6	6	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	3	0.1766
9	157	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:00:50	1996-02-01 00:01:01	1996-02-01 00:01:01	1996-02-01 00:01:01	11	11	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	1	0.2779
10	158	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:01:31	1996-02-01 00:01:37	1996-02-01 00:01:37	1996-02-01 00:01:37	6	6	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	4	0.215
11	159	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:02:02	1996-02-01 00:02:06	1996-02-01 00:02:07	1996-02-01 00:02:07	5	.	5	incorrect	1	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	7	0.1631
12	226	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:15:02	1996-02-01 00:15:02	1996-02-01 00:15:02	1996-02-01 00:15:02	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.1322
13	227	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION1)	1996-02-01 00:19:19	1996-02-01 00:19:19	1996-02-01 00:19:19	1996-02-01 00:19:19	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	7	0.1183
14	228	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:15:58	1996-02-01 00:16:05	1996-02-01 00:16:05	1996-02-01 00:16:05	7	7	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.1274
15	229	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION2)	1996-02-01 00:19:40	1996-02-01 00:20:08	1996-02-01 00:20:08	1996-02-01 00:20:08	28	28	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	8	0.114
16	230	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:16:49	1996-02-01 00:17:01	1996-02-01 00:17:01	1996-02-01 00:17:01	12	12	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.1228
17	231	All Data	Stu_706a76f06dfa563c7ea573d994ca5405	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION3)	1996-02-01 00:20:52	1996-02-01 00:20:56	1996-02-01 00:20:56	1996-02-01 00:20:56	4	4	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	9	0.1098
18	455	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:12:35	1996-02-01 00:12:35	1996-02-01 00:12:35	1996-02-01 00:12:35	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.2076
19	456	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:14:17	1996-02-01 00:14:35	1996-02-01 00:14:35	1996-02-01 00:14:35	18	18	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.2007
20	457	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:14:49	1996-02-01 00:14:54	1996-02-01 00:14:54	1996-02-01 00:14:54	5	5	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.194
21	458	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:12:35	1996-02-01 00:12:44	1996-02-01 00:12:44	1996-02-01 00:12:44	9	9	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.3045
22	459	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:14:35	1996-02-01 00:14:38	1996-02-01 00:14:38	1996-02-01 00:14:38	3	3	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	5	0.2375
23	460	All Data	Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:14:54	1996-02-01 00:14:57	1996-02-01 00:14:57	1996-02-01 00:14:57	3	3	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	8	0.1814
24	657	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:14:00	1996-02-01 00:14:00	1996-02-01 00:14:00	1996-02-01 00:14:00	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.1255
25	658	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:14:00	1996-02-01 00:14:18	1996-02-01 00:14:18	1996-02-01 00:14:18	18	18	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.1209
26	659	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:14:18	1996-02-01 00:14:29	1996-02-01 00:14:29	1996-02-01 00:14:29	11	11	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.1165
27	660	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:14:29	1996-02-01 00:14:36	1996-02-01 00:14:36	1996-02-01 00:14:36	7	7	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.1934
28	661	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:14:36	1996-02-01 00:14:59	1996-02-01 00:14:59	1996-02-01 00:14:59	23	23	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	3	0.1763
29	662	All Data	Stu_8150b92d145a08727bc5a1e77eade01d	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:14:59	1996-02-01 00:15:05	1996-02-01 00:15:05	1996-02-01 00:15:05	6	6	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	4	0.1604
30	752	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:23:06	1996-02-01 00:23:06	1996-02-01 00:23:06	1996-02-01 00:23:06	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.2547
31	753	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION1)	1996-02-01 00:55:25	1996-02-01 00:55:25	1996-02-01 00:55:25	1996-02-01 00:55:25	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	12	0.1959
32	754	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:23:48	1996-02-01 00:23:50	1996-02-01 00:23:50	1996-02-01 00:23:50	2	2	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.2467
33	755	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION2)	1996-02-01 00:55:56	1996-02-01 00:55:59	1996-02-01 00:55:59	1996-02-01 00:55:59	3	3	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	13	0.1894
34	756	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:24:15	1996-02-01 00:24:18	1996-02-01 00:24:18	1996-02-01 00:24:18	3	3	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.239
35	757	All Data	Stu_c232f8b37b15ea9fce7afc6b73df17bb	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION3)	1996-02-01 00:56:11	1996-02-01 00:56:16	1996-02-01 00:56:16	1996-02-01 00:56:16	5	5	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	14	0.183
36	967	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:06:43	1996-02-01 00:06:43	1996-02-01 00:06:43	1996-02-01 00:06:43	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.1849
37	968	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION1)	1996-02-01 00:10:10	1996-02-01 00:10:10	1996-02-01 00:10:11	1996-02-01 00:10:11	1	.	1	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	7	0.1665
38	969	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:07:12	1996-02-01 00:07:22	1996-02-01 00:07:22	1996-02-01 00:07:22	10	10	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.1786
39	970	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION2)	1996-02-01 00:10:41	1996-02-01 00:10:52	1996-02-01 00:10:52	1996-02-01 00:10:52	11	11	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	8	0.1607
40	971	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:07:51	1996-02-01 00:07:56	1996-02-01 00:07:56	1996-02-01 00:07:56	5	5	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.1725
41	972	All Data	Stu_cf6b3f01b1bf297da154aaa975fbd9c1	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION3)	1996-02-01 00:11:13	1996-02-01 00:11:27	1996-02-01 00:11:28	1996-02-01 00:11:28	15	.	15	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	9	0.1551
42	1197	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:16:25	1996-02-01 00:16:25	1996-02-01 00:16:25	1996-02-01 00:16:25	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.1031
43	1198	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:16:44	1996-02-01 00:17:02	1996-02-01 00:17:02	1996-02-01 00:17:02	18	18	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.0992
44	1199	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:19:00	1996-02-01 00:19:08	1996-02-01 00:19:08	1996-02-01 00:19:08	8	8	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.0955
45	1200	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:16:25	1996-02-01 00:16:44	1996-02-01 00:16:44	1996-02-01 00:16:44	19	19	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.1611
46	1201	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:17:02	1996-02-01 00:17:10	1996-02-01 00:17:10	1996-02-01 00:17:10	8	8	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	3	0.1464
47	1202	All Data	Stu_ac89a0ef007fb0c8c920b786e2822d83	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:19:08	1996-02-01 00:19:13	1996-02-01 00:19:13	1996-02-01 00:19:13	5	5	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	8	0.0886
48	1351	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:18:57	1996-02-01 00:18:57	1996-02-01 00:18:57	1996-02-01 00:18:57	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.3335
49	1352	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION1)	1996-02-01 00:25:24	1996-02-01 00:25:24	1996-02-01 00:25:24	1996-02-01 00:25:24	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	8	0.297
50	1353	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:19:10	1996-02-01 00:19:55	1996-02-01 00:19:56	1996-02-01 00:19:56	46	.	46	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	5	0.3242
51	1354	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION2)	1996-02-01 00:25:45	1996-02-01 00:25:49	1996-02-01 00:25:49	1996-02-01 00:25:49	4	4	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	9	0.2883
52	1355	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:21:31	1996-02-01 00:21:36	1996-02-01 00:21:36	1996-02-01 00:21:36	5	5	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.315
53	1356	All Data	Stu_ac8f950f416639e014a1294ac59b4086	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION3)	1996-02-01 00:25:59	1996-02-01 00:26:00	1996-02-01 00:26:01	1996-02-01 00:26:01	2	.	2	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	10	0.2797
54	1602	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:36:03	1996-02-01 00:36:03	1996-02-01 00:36:03	1996-02-01 00:36:03	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.4183
55	1603	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	DESIGNING_A_QUILT	2	(AREA QUESTION1)	1996-02-01 00:41:33	1996-02-01 00:41:33	1996-02-01 00:41:33	1996-02-01 00:41:33	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	8	0.3779
